PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_OVERALL,Total_Sales_Price
P07662,Chrompet,1072,2008-09-08,36,1.0,1.0,3,Partial,0,1971-09-18,Commercial,All Pub,Gravel,RH,3.46,12353708
P08417,Chrompet,1239,2008-01-09,59,2.0,1.0,4,AdjLand,1,1986-01-14,Others,ELO,Gravel,RH,3.7,11229326
P09158,Chrompet,1121,2007-03-15,158,1.0,1.0,3,Partial,0,1984-03-20,House,All Pub,Gravel,RH,3.3,8636148
P09038,Chrompet,1225,2007-05-05,72,2.0,1.0,4,Ab Normal,1,2001-05-06,House,NoSeWa,No Access,RL,4.0,10028999
P04938,Chrompet,863,2010-05-31,113,1.0,1.0,3,Family,0,1973-06-09,House,All Pub,Gravel,RL,3.23,8180996
P00015,Chrompet,1057,2015-02-11,33,1.0,1.0,3,Ab Normal,1,1986-02-18,House,All Pub,No Access,RH,3.68,8468249
P00315,Chrompet,1248,2014-07-07,77,2.0,1.0,4,Family,0,1994-07-12,House,All Pub,Gravel,RL,3.83,10156374
P09559,Chrompet,961,2006-10-12,31,1.0,1.0,3,Ab Normal,1,1988-10-16,House,All Pub,Paved,RL,4.04,9501844
P00256,Chrompet,849,2014-08-21,22,1.0,1.0,3,Ab Normal,0,2003-08-24,Others,NoSewr ,Paved,RM,3.46,9167491
P00770,Chrompet,1147,2013-08-07,31,1.0,1.0,3,Ab Normal,0,1973-08-17,Others,All Pub,Gravel,RM,2.84,10619400
P01545,Chrompet,757,2012-03-21,99,1.0,1.0,2,Ab Normal,1,1978-03-30,Commercial,All Pub,Paved,RM,2.97,11952238
P01314,Chrompet,764,2012-08-14,36,1.0,1.0,2,Ab Normal,0,1982-08-22,Others,NoSeWa,Gravel,RM,4.35,8849132
P01785,Chrompet,1227,2012-02-09,151,2.0,1.0,4,Partial,1,2007-02-10,House,NoSewr ,Paved,RM,3.86,11110971
P06346,Chrompet,1261,2009-09-10,157,2.0,1.0,4,Partial,0,1997-09-13,Others,NoSeWa,Paved,RL,3.3,10117032
P07066,Chrompet,1163,2009-03-07,3,1.0,1.0,3,Partial,1,1978-03-15,Others,NoSeWa,Paved,RM,3.43,10911366
P04303,Chrompet,1127,2010-09-27,190,1.0,1.0,3,AdjLand,1,1974-10-06,House,NoSewr ,Paved,RL,3.86,10118977
P05735,Chrompet,856,2010-01-02,133,1.0,1.0,3,AdjLand,0,1979-01-10,House,NoSeWa,Gravel,RL,4.32,8568048
P01802,Chrompet,1183,2012-02-06,105,1.0,1.0,3,Normal Sale,1,1982-02-13,Others,NoSeWa,Paved,RH,3.55,9993044
P07414,Chrompet,987,2008-11-19,163,1.0,1.0,3,Partial,1,1989-11-24,Others,NoSewr ,Paved,RM,2.67,10252379
P09357,Chrompet,1083,2007-01-07,31,1.0,1.0,3,Partial,0,1974-01-15,Others,ELO,Gravel,RM,3.36,9890719
P07773,Chrompet,1128,2008-08-07,100,1.0,1.0,3,Family,0,1995-08-11,Others,All Pub,Gravel,RL,4.07,10365167
P00413,Chrompet,966,2014-05-04,2,1.0,1.0,3,Normal Sale,0,2009-05-05,House,All Pub,Gravel,RL,3.72,9239032
P00829,Chrompet,783,2013-06-27,188,1.0,1.0,2,Partial,1,2000-06-30,Others,All Pub,Gravel,RL,3.48,9541244
P00960,Chrompet,1133,2013-04-05,198,1.0,1.0,3,Ab Normal,1,1990-04-11,Others,All Pub,No Access,RL,3.26,10117599
P09305,Chrompet,1010,2007-01-24,23,1.0,1.0,3,Family,0,1971-02-02,House,NoSeWa,Gravel,RM,4.21,9124761
P08670,Chrompet,925,2007-09-27,186,1.0,1.0,3,Normal Sale,0,1978-10-04,Others,ELO,Gravel,RM,3.17,9498738
P01231,Chrompet,964,2012-10-10,166,1.0,1.0,3,Partial,1,2004-10-12,Others,NoSewr ,Paved,RM,2.7,10529748
P01327,Chrompet,919,2012-08-06,42,1.0,1.0,3,AdjLand,1,1974-08-16,Commercial,NoSewr ,Paved,RL,2.36,12595831
P06733,Chrompet,1018,2009-06-09,30,1.0,1.0,3,AdjLand,1,1976-06-17,Others,All Pub,Gravel,RM,3.7,11629753
P02892,Chrompet,796,2011-07-04,191,1.0,1.0,2,AdjLand,1,1972-07-13,Commercial,ELO,Gravel,RL,3.27,11971703
P05598,Chrompet,760,2010-01-27,73,1.0,1.0,2,Ab Normal,1,1994-01-31,Others,NoSeWa,No Access,RM,3.4,8902564
P09026,Chrompet,740,2007-05-09,21,1.0,1.0,2,Partial,0,2003-05-10,Commercial,NoSeWa,No Access,RL,4.15,9614994
P01381,Chrompet,913,2012-06-21,77,1.0,1.0,3,Normal Sale,1,1978-06-30,House,ELO,Gravel,RM,2.95,9890821
P07460,Chrompet,971,2008-11-03,91,1.0,1.0,3,Partial,0,1989-11-08,Commercial,NoSewr ,Gravel,RL,3.91,12460210
P09524,Chrompet,1014,2006-10-26,83,1.0,1.0,3,AdjLand,1,1971-11-04,House,NoSewr ,Paved,RL,2.72,9534540
P06757,Chrompet,956,2009-06-04,16,1.0,1.0,3,AdjLand,1,1990-06-09,House,All Pub,Gravel,RL,3.05,10364515
P08756,Chrompet,1274,2007-09-01,10,2.0,1.0,4,Normal Sale,1,1996-09-03,House,ELO,No Access,RH,4.42,9558735
P00101,Chrompet,845,2014-12-11,101,1.0,1.0,3,Family,0,1991-12-17,Commercial,NoSewr ,Paved,RL,4.03,11132826
P07353,Chrompet,1124,2008-12-12,141,1.0,1.0,3,Normal Sale,0,1968-12-22,Others,NoSewr ,Paved,RH,2.94,8540660
P01041,Chrompet,875,2013-02-01,39,1.0,1.0,3,Ab Normal,1,1995-02-06,Commercial,NoSewr ,Paved,RL,2.79,12312106
P02793,Chrompet,779,2011-07-26,24,1.0,1.0,2,Partial,1,1986-08-01,Others,NoSeWa,Paved,RL,3.53,8509503
P06539,Chrompet,715,2009-07-28,129,1.0,1.0,2,Family,1,1974-08-06,Commercial,All Pub,Gravel,RH,3.17,10674637
P06910,Chrompet,810,2009-04-21,24,1.0,1.0,3,Partial,0,1980-04-28,Commercial,ELO,Paved,RH,4.03,9680097
P05284,Chrompet,837,2010-03-25,117,1.0,1.0,3,AdjLand,0,2004-03-26,Others,NoSewr ,No Access,RM,3.29,8925686
P03738,Chrompet,1063,2011-01-20,187,1.0,1.0,3,AdjLand,1,1981-01-27,Others,ELO,No Access,RL,2.42,9706407
P00081,Chrompet,956,2014-12-23,22,1.0,1.0,3,Partial,0,2004-12-25,Commercial,NoSewr ,Gravel,RH,2.47,11715324
P01606,Chrompet,1050,2012-03-10,198,1.0,1.0,3,Family,1,2000-03-13,House,NoSewr ,Paved,RM,3.39,10423325
P07117,Chrompet,1170,2009-02-17,126,1.0,1.0,3,Ab Normal,1,1994-02-21,Others,NoSeWa,Gravel,RH,2.91,10598655
P02159,Chrompet,961,2011-11-27,61,1.0,1.0,3,AdjLand,1,1993-12-01,House,All Pub,No Access,RH,4.9,8751167
P00388,Chrompet,1041,2014-05-21,35,1.0,1.0,3,Family,1,2002-05-24,Others,NoSeWa,Paved,RH,3.32,9528890
P00593,Chrompet,779,2013-12-13,42,1.0,1.0,2,Family,0,2005-12-15,Commercial,NoSewr ,Gravel,RH,3.61,10586371
P03332,Chrompet,1223,2011-04-12,70,2.0,1.0,4,Ab Normal,0,2002-04-14,House,All Pub,Gravel,RM,3.32,10910695
P04948,Chrompet,907,2010-05-29,5,1.0,1.0,3,Ab Normal,1,1974-06-07,Others,ELO,Gravel,RM,3.98,10305454
P02638,Chrompet,1089,2011-08-30,29,1.0,1.0,3,Partial,0,1999-09-02,Others,NoSeWa,Gravel,RM,3.49,10400967
P09365,Chrompet,975,2007-01-04,147,1.0,1.0,3,Ab Normal,0,1971-01-13,Others,All Pub,Gravel,RH,3.86,8763038
P06984,Chrompet,1294,2009-03-31,31,2.0,1.0,4,AdjLand,0,2004-04-01,House,NoSewr ,No Access,RH,3.81,9159783
P00587,Chrompet,1036,2013-12-20,51,1.0,1.0,3,Family,1,1984-12-27,Others,NoSeWa,Gravel,RL,3.82,10451958
P06676,Chrompet,919,2009-06-28,184,1.0,1.0,3,Normal Sale,0,1994-07-02,House,All Pub,Gravel,RH,3.85,8380933
P01176,Chrompet,1216,2012-11-13,12,2.0,1.0,4,Family,1,1990-11-19,House,ELO,Gravel,RH,4.53,10090112
P09433,Chrompet,808,2006-12-10,39,1.0,1.0,3,Normal Sale,0,1999-12-12,Commercial,NoSewr ,No Access,RH,3.63,9954445
P01092,Chrompet,1232,2013-01-01,151,2.0,1.0,4,Ab Normal,1,1991-01-07,House,NoSeWa,No Access,RL,3.56,9745944
P05772,Chrompet,709,2009-12-25,129,1.0,1.0,2,AdjLand,1,1973-01-03,Others,ELO,Gravel,RM,3.81,9640246
P06816,Chrompet,853,2009-05-14,125,1.0,1.0,3,Family,1,2002-05-16,House,NoSewr ,Gravel,RM,3.75,10296757
P01401,Chrompet,890,2012-06-02,143,1.0,1.0,3,AdjLand,1,1977-06-11,Commercial,NoSeWa,No Access,RL,3.95,11952148
P00580,Chrompet,934,2013-12-23,24,1.0,1.0,3,Family,0,1991-12-29,Others,NoSeWa,Gravel,RL,4.2,9091956
P00568,Chrompet,996,2013-12-31,92,1.0,1.0,3,Family,1,1986-01-07,Others,NoSeWa,Gravel,RL,3.39,10116222
P05627,Chrompet,914,2010-01-23,18,1.0,1.0,3,Normal Sale,0,1978-01-31,House,NoSeWa,Paved,RM,3.86,8489564
P00360,Chrompet,1179,2014-06-08,162,1.0,1.0,3,Ab Normal,1,2010-06-09,House,NoSewr ,Paved,RL,2.84,10486145
P05050,Chrompet,1129,2010-05-09,124,1.0,1.0,3,AdjLand,0,1978-05-17,Others,ELO,Paved,RL,3.52,9537452
P06899,Chrompet,937,2009-04-24,145,1.0,1.0,3,Family,1,1984-04-30,House,All Pub,Paved,RH,3.7,8584034
P00019,Chrompet,1143,2015-02-09,105,1.0,1.0,3,Normal Sale,1,2006-02-11,Others,NoSeWa,No Access,RH,4.25,9715109
P01862,Chrompet,1127,2012-01-26,185,1.0,1.0,3,Normal Sale,0,1998-01-29,House,NoSewr ,Gravel,RL,2.88,9510836
P05380,Chrompet,843,2010-03-06,99,1.0,1.0,3,Ab Normal,0,1974-03-15,Others,All Pub,Paved,RL,3.15,8187930
P01270,Chrompet,1073,2012-09-13,163,1.0,1.0,3,AdjLand,1,1995-09-18,Others,NoSeWa,Paved,RH,4.25,10044028
P05078,Chrompet,714,2010-05-04,92,1.0,1.0,2,Ab Normal,1,1997-05-07,House,NoSewr ,Paved,RL,4.16,8381154
P00695,Chrompet,884,2013-10-11,104,1.0,1.0,3,AdjLand,1,1999-10-15,House,NoSeWa,Paved,RM,3.78,9997642
P09434,Chrompet,1097,2006-12-09,132,1.0,1.0,3,Partial,0,1984-12-14,House,All Pub,Gravel,RL,2.92,9055863
P06532,Chrompet,748,2009-07-30,93,1.0,1.0,2,AdjLand,0,1978-08-07,Commercial,All Pub,Gravel,RL,4.0,11177794
P09122,Chrompet,736,2007-04-02,167,1.0,1.0,2,AdjLand,0,1999-04-04,Commercial,All Pub,Gravel,RH,2.76,10657254
P00351,Chrompet,1114,2014-06-12,106,1.0,1.0,3,Partial,0,1976-06-21,House,All Pub,Gravel,RM,3.27,9620147
P01123,Chrompet,776,2012-12-09,97,1.0,1.0,2,Normal Sale,1,2003-12-12,House,ELO,Paved,RL,3.47,8525865
P01298,Chrompet,1243,2012-08-22,77,2.0,1.0,4,AdjLand,0,1991-08-28,House,NoSewr ,Paved,RL,3.39,9895471
P01166,Chrompet,1008,2012-11-18,84,1.0,1.0,3,Partial,0,1980-11-26,Others,NoSeWa,Gravel,RM,3.92,9697958
P00281,Chrompet,1166,2014-07-30,31,1.0,1.0,3,Normal Sale,0,2009-07-31,Others,NoSeWa,Gravel,RL,3.24,10527176
P09014,Chrompet,1239,2007-05-13,75,2.0,1.0,4,AdjLand,0,1977-05-20,Others,NoSeWa,Gravel,RH,3.95,10202076
P03608,Chrompet,1231,2011-02-17,120,2.0,1.0,4,Partial,0,1989-02-22,Others,All Pub,Gravel,RH,3.97,9995874
P06762,Chrompet,1109,2009-06-02,60,1.0,1.0,3,AdjLand,0,1997-06-05,Others,ELO,Paved,RM,3.23,10552221
P00722,Chrompet,1280,2013-09-12,78,2.0,1.0,4,Family,0,1997-09-16,Others,All Pub,Paved,RM,2.97,11149608
P02219,Chrompet,750,2011-11-13,33,1.0,1.0,2,Normal Sale,0,1988-11-18,Others,NoSewr ,Gravel,RL,3.14,8264986
P00745,Chrompet,914,2013-08-21,52,1.0,1.0,3,AdjLand,1,2004-08-23,Commercial,ELO,No Access,RL,3.15,12526795
P00110,Chrompet,1286,2014-12-06,103,2.0,1.0,4,Normal Sale,1,1998-12-10,Others,All Pub,No Access,RL,3.47,11092177
P02135,Chrompet,770,2011-12-03,25,1.0,1.0,2,Ab Normal,0,1990-12-08,Commercial,NoSeWa,Gravel,RH,3.88,10301451
P03609,Chrompet,1115,2011-02-17,144,1.0,1.0,3,Family,1,1975-02-26,House,ELO,Paved,RL,3.34,9338807
P01496,Chrompet,935,2012-03-31,192,1.0,1.0,3,Partial,1,1990-04-06,Commercial,NoSewr ,No Access,RL,3.1,11990681
P07391,Chrompet,989,2008-11-27,1,1.0,1.0,3,AdjLand,0,2002-11-29,House,All Pub,Gravel,RL,3.59,9660589
P01190,Chrompet,1227,2012-11-06,143,2.0,1.0,4,Normal Sale,1,1996-11-10,House,NoSeWa,No Access,RH,3.25,9217115
P09423,Chrompet,787,2006-12-13,162,1.0,1.0,2,Partial,1,1976-12-20,Commercial,NoSeWa,No Access,RM,4.06,11246278
P01455,Chrompet,991,2012-04-25,105,1.0,1.0,3,AdjLand,0,1980-05-03,House,NoSeWa,Paved,RM,3.96,9054245
P03248,Chrompet,951,2011-04-26,73,1.0,1.0,3,Partial,0,2003-04-28,Commercial,NoSeWa,Gravel,RH,2.76,11677945
P06643,Chrompet,820,2009-07-08,16,1.0,1.0,3,AdjLand,0,1983-07-15,House,All Pub,Gravel,RL,3.05,8494086
P06459,Chrompet,1292,2009-08-13,6,2.0,1.0,4,Partial,0,2003-08-15,House,ELO,Paved,RM,2.93,10165183
P03429,Chrompet,839,2011-03-29,71,1.0,1.0,3,Family,1,1988-04-03,Commercial,All Pub,Gravel,RH,4.22,12127910
P01162,Chrompet,1296,2012-11-20,170,2.0,1.0,4,Ab Normal,0,2007-11-22,House,NoSewr ,Gravel,RH,4.05,9988342
P00818,Chrompet,1027,2013-07-04,4,1.0,1.0,3,Normal Sale,1,1999-07-08,Others,ELO,No Access,RL,4.27,9608313
P08273,Chrompet,920,2008-03-03,67,1.0,1.0,3,Normal Sale,1,1972-03-12,Others,All Pub,Paved,RL,3.47,9515376
P05064,Chrompet,918,2010-05-06,99,1.0,1.0,3,Normal Sale,0,1982-05-13,Others,ELO,Paved,RM,4.24,9130469
P00649,Chrompet,750,2013-11-09,78,1.0,1.0,2,Partial,1,1989-11-15,Commercial,ELO,Paved,RL,3.28,10865976
P01209,Chrompet,1258,2012-10-24,73,2.0,1.0,4,AdjLand,1,1985-10-31,Others,NoSewr ,No Access,RM,3.45,11556487
P00794,Chrompet,881,2013-07-18,79,1.0,1.0,3,AdjLand,0,2008-07-19,Others,NoSewr ,Gravel,RH,4.01,9049377
P03724,Chrompet,802,2011-01-24,157,1.0,1.0,3,Normal Sale,1,2001-01-26,House,All Pub,Paved,RL,2.91,9055326
P04733,Chrompet,787,2010-07-08,147,1.0,1.0,2,Partial,1,1979-07-16,Commercial,ELO,Gravel,RM,3.35,12194995
P06236,Chrompet,1265,2009-10-01,30,2.0,1.0,4,AdjLand,0,1985-10-07,House,ELO,Gravel,RL,2.53,10153813
P01093,Chrompet,847,2012-12-31,6,1.0,1.0,3,Family,1,1978-01-09,House,All Pub,Paved,RM,3.5,9261913
P00987,Chrompet,1128,2013-03-18,41,1.0,1.0,3,Partial,1,2004-03-20,House,All Pub,No Access,RM,4.35,10158136
P05909,Chrompet,895,2009-12-01,193,1.0,1.0,3,Ab Normal,1,1986-12-07,Others,NoSeWa,Gravel,RL,3.07,9867069
P02246,Chrompet,1227,2011-11-07,104,2.0,1.0,4,Normal Sale,1,1980-11-14,Others,ELO,Paved,RL,3.97,10971706
P01032,Chrompet,973,2013-02-07,155,1.0,1.0,3,AdjLand,1,1984-02-15,House,NoSeWa,Paved,RH,3.32,8846388
P00918,Chrompet,1001,2013-05-02,1,1.0,1.0,3,AdjLand,0,2000-05-05,Others,All Pub,Gravel,RL,2.79,10074396
P02861,Chrompet,907,2011-07-10,38,1.0,1.0,3,AdjLand,0,1984-07-16,Others,ELO,Gravel,RL,4.63,9340709
P07573,Chrompet,1051,2008-09-29,66,1.0,1.0,3,Normal Sale,0,1989-10-04,Others,NoSeWa,Gravel,RL,2.99,9617354
P09137,Chrompet,956,2007-03-24,134,1.0,1.0,3,Family,1,1978-03-31,Commercial,All Pub,Paved,RH,3.37,12271368
P07058,Chrompet,1122,2009-03-08,33,1.0,1.0,3,AdjLand,0,1985-03-14,House,ELO,Paved,RH,2.92,8264290
P00397,Chrompet,1020,2014-05-15,80,1.0,1.0,3,Normal Sale,0,1979-05-24,House,NoSewr ,Paved,RL,3.8,8336261
P08186,Chrompet,897,2008-03-28,79,1.0,1.0,3,AdjLand,1,1973-04-06,House,All Pub,No Access,RM,3.04,9190652
P05396,Chrompet,987,2010-03-04,39,1.0,1.0,3,Normal Sale,1,2006-03-05,House,All Pub,Gravel,RM,3.53,11093757
P07150,Chrompet,1078,2009-02-07,54,1.0,1.0,3,AdjLand,1,1972-02-17,House,NoSeWa,Paved,RL,3.55,9731632
P01212,Chrompet,946,2012-10-21,190,1.0,1.0,3,Ab Normal,1,1996-10-25,House,NoSeWa,Paved,RH,3.53,8540625
P04051,Chrompet,1276,2010-11-17,92,2.0,1.0,4,Partial,1,1995-11-21,Others,NoSewr ,No Access,RL,3.92,10742363
P09289,Chrompet,1079,2007-01-30,171,1.0,1.0,3,Partial,1,1991-02-03,House,ELO,Paved,RH,3.32,8801728
P07588,Chrompet,806,2008-09-26,11,1.0,1.0,3,Family,0,1996-09-29,House,NoSewr ,Gravel,RM,4.09,8964583
P09186,Chrompet,730,2007-03-05,4,1.0,1.0,2,Ab Normal,1,1989-03-09,Others,ELO,Paved,RM,4.2,9304586
P02944,Chrompet,1026,2011-06-25,5,1.0,1.0,3,AdjLand,0,1992-06-29,Others,ELO,Gravel,RM,3.55,10494513
P05990,Chrompet,1133,2009-11-14,64,1.0,1.0,3,Partial,1,2004-11-15,Others,All Pub,NoAccess,RH,4.27,9770208
P02140,Chrompet,904,2011-12-02,36,1.0,1.0,3,Family,0,1999-12-05,Others,All Pub,No Access,RM,3.19,8739450
P00283,Chrompet,1297,2014-07-28,170,2.0,1.0,4,Family,0,1975-08-07,House,NoSewr ,Gravel,RM,3.88,10502077
P01280,Chrompet,996,2012-09-04,191,1.0,1.0,3,Family,1,1984-09-11,House,ELO,Gravel,RL,2.7,9464275
P03614,Chrompet,969,2011-02-16,176,1.0,1.0,3,Family,0,1972-02-26,Others,NoSeWa,Paved,RM,3.58,8974943
P01154,Chrompet,1095,2012-11-25,52,1.0,1.0,3,Partial,0,1993-11-30,House,All Pub,Gravel,RH,4.35,8752143
P08127,Chrompet,1267,2008-04-15,5,2.0,1.0,4,Partial,1,1984-04-21,House,NoSewr ,No Access,RL,4.05,9697291
P08781,Chrompet,1161,2007-08-22,58,1.0,1.0,3,Family,1,1974-08-30,Others,ELO,Paved,RM,4.09,11010397
P01009,Chrompet,1101,2013-03-02,30,1.0,1.0,3,Family,0,1973-03-12,House,ELO,Gravel,RM,3.22,9314749
P00419,Chrompet,1021,2014-04-30,159,1.0,1.0,3,Ab Normal,1,2005-05-02,Others,NoSeWa,Paved,RH,3.98,9697457
P09482,Chrompet,910,2006-11-18,178,1.0,1.0,3,Normal Sale,1,1983-11-24,House,NoSeWa,Paved,RM,2.68,9535327
P00305,Chrompet,1298,2014-07-13,75,2.0,1.0,4,Partial,1,2010-07-14,House,NoSeWa,No Access,RL,3.63,10127615
P07454,Chrompet,1093,2008-11-04,51,1.0,1.0,3,Ab Normal,0,1996-11-07,House,NoSewr ,No Access,RM,4.48,9082915
P01363,Chrompet,975,2012-07-07,80,1.0,1.0,3,Family,0,2001-07-10,House,NoSewr ,Paved,RL,3.02,8405919
P05250,Chrompet,1036,2010-04-02,152,1.0,1.0,3,Normal Sale,0,1993-04-06,House,NoSewr ,No Access,RM,2.89,8571270
P01285,Chrompet,1272,2012-08-30,192,2.0,1.0,4,Ab Normal,0,1986-09-06,Others,ELO,Paved,RH,3.2,9373354
P05870,Chrompet,911,2009-12-07,98,1.0,1.0,3,Partial,0,1981-12-14,Commercial,All Pub,Paved,RM,2.47,11841321
P00831,Chrompet,1015,2013-06-25,105,1.0,1.0,3,Normal Sale,0,1976-07-04,Commercial,NoSeWa,Paved,RL,3.74,12098149
P01111,Chrompet,1238,2012-12-16,34,2.0,1.0,4,Partial,1,2007-12-18,House,NoSeWa,Gravel,RH,4.69,10557294
P05834,Chrompet,1117,2009-12-13,152,1.0,1.0,3,Family,0,1972-12-22,Others,All Pub,Paved,RH,3.05,8597380
P01699,Chrompet,953,2012-02-24,18,1.0,1.0,3,Partial,1,1991-03-01,House,NoSeWa,No Access,RL,4.15,8396307
P02382,Chrompet,790,2011-10-15,166,1.0,1.0,2,AdjLand,1,1977-10-23,Others,NoSewr ,Gravel,RH,3.57,9019224
P07540,Chrompet,967,2008-10-10,158,1.0,1.0,3,Partial,1,1974-10-19,Others,ELO,Paved,RH,3.21,8529765
P07507,Chrompet,961,2008-10-19,15,1.0,1.0,3,AdjLand,0,1989-10-24,House,NoSeWa,Gravel,RL,3.43,9086500
P04050,Chrompet,753,2010-11-17,150,1.0,1.0,2,Family,0,1972-11-26,Commercial,ELO,Gravel,RH,3.59,9626231
P00965,Chrompet,1093,2013-04-02,142,1.0,1.0,3,Ab Normal,1,1988-04-08,House,All Pub,Paved,RL,3.23,9861305
P06082,Chrompet,985,2009-10-27,2,1.0,1.0,3,AdjLand,0,1982-11-03,House,All Pub,Gravel,RM,4.0,9965961
P00546,Chrompet,826,2014-01-18,116,1.0,1.0,3,Family,1,1994-01-23,House,All Pub,Paved,RM,3.65,9432893
P00212,Chrompet,1019,2014-09-19,16,1.0,1.0,3,Normal Sale,1,1993-09-24,Others,All Pub,Gravel,RL,2.45,10718095
P02748,Chrompet,816,2011-08-06,123,1.0,1.0,3,Normal Sale,1,1979-08-14,House,NoSewr ,No Access,RM,3.13,8507545
P06867,Chrompet,1013,2009-05-03,63,1.0,1.0,3,Ab Normal,1,1992-05-07,House,All Pub,Gravel,RM,3.06,10858827
P04038,Chrompet,1080,2010-11-19,4,1.0,1.0,3,Family,0,1996-11-22,House,NoSeWa,No Access,RM,3.05,8693459
P04059,Chrompet,951,2010-11-16,117,1.0,1.0,3,Partial,0,1985-11-22,Commercial,NoSeWa,Gravel,RL,3.53,12109447
P00190,Chrompet,737,2014-10-10,93,1.0,1.0,2,Ab Normal,1,1987-10-17,Commercial,NoSewr ,No Access,RH,3.09,9880945
P02417,Chrompet,1211,2011-10-08,170,2.0,1.0,4,AdjLand,0,2000-10-10,House,ELO,Gravel,RH,3.13,9479406
P00858,Chrompet,910,2013-06-11,10,1.0,1.0,3,Partial,0,1992-06-16,House,ELO,Gravel,RL,3.35,8193051
P05495,Chrompet,1061,2010-02-14,141,1.0,1.0,3,AdjLand,1,1975-02-23,Others,NoSeWa,Paved,RM,3.0,10862481
P03675,Chrompet,1261,2011-02-02,181,2.0,1.0,4,AdjLand,1,1990-02-07,House,NoSewr ,Paved,RH,2.39,10245129
P04976,Chrompet,1104,2010-05-24,124,1.0,1.0,3,Partial,1,2005-05-25,Others,All Pub,Paved,RH,3.67,10145832
P09222,Chrompet,963,2007-02-20,170,1.0,1.0,3,Family,1,1971-03-01,House,NoSewr ,Paved,RH,2.88,8269704
P01187,Chrompet,1165,2012-11-07,108,1.0,1.0,3,Partial,0,1973-11-17,House,NoSewr ,No Access,RM,3.51,8556885
P09001,Chrompet,1109,2007-05-18,48,1.0,1.0,3,AdjLand,0,1989-05-22,House,ELO,Paved,RL,3.15,8984031
P00975,Chrompet,818,2013-03-26,66,1.0,1.0,3,AdjLand,1,2006-03-28,Commercial,All Pub,Paved,RH,4.7,12245845
P06913,Chrompet,1288,2009-04-20,78,2.0,1.0,4,Family,0,1981-04-27,House,NoSeWa,No Access,RM,2.86,9319205
P07929,Chrompet,1229,2008-06-21,20,2.0,1.0,4,Ab Normal,0,1983-06-28,House,All Pub,No Access,RH,3.77,8248935
P00234,Chrompet,979,2014-09-04,9,1.0,1.0,3,AdjLand,1,2005-09-06,House,NoSeWa,No Access,RL,4.31,9308557
P09443,Chrompet,947,2006-12-05,110,1.0,1.0,3,Family,1,1966-12-15,Commercial,ELO,No Access,RL,3.09,12378116
P00035,Chrompet,963,2015-01-29,97,1.0,1.0,3,Partial,1,1999-02-02,House,NoSewr ,No Access,RL,3.78,8590816
P09313,Chrompet,1055,2007-01-20,7,1.0,1.0,3,Normal Sale,1,1987-01-25,Commercial,NoSeWa,No Access,RH,3.66,12600036
P02784,Chrompet,829,2011-07-29,18,1.0,1.0,3,Normal Sale,1,1978-08-06,House,NoSeWa,Gravel,RM,2.52,9602227
P09005,Chrompet,875,2007-05-17,176,1.0,1.0,3,Partial,1,1981-05-23,House,ELO,Gravel,RL,2.49,8844850
P04670,Chrompet,958,2010-07-22,51,1.0,1.0,3,Ab Normal,0,2001-07-24,Commercial,All Pub,No Access,RH,3.48,11170813
P01071,Chrompet,915,2013-01-11,125,1.0,1.0,3,Partial,1,1976-01-21,Others,NoSewr ,Paved,RH,3.1,8417966
P01238,Chrompet,1126,2012-10-04,96,1.0,1.0,3,Family,0,1994-10-09,Others,ELO,Gravel,RH,3.14,9255794
P01097,Chrompet,965,2012-12-29,92,1.0,1.0,3,Normal Sale,0,1986-01-05,Others,NoSewr ,Gravel,RM,4.03,10039188
P09274,Chrompet,894,2007-02-05,117,1.0,1.0,3,Partial,1,1979-02-12,Others,All Pub,Paved,RL,4.1,9427447
P02223,Chrompet,1033,2011-11-12,4,1.0,1.0,3,Partial,0,1983-11-19,Commercial,NoSeWa,No Access,RM,3.67,12140677
P01000,Chrompet,737,2013-03-08,137,1.0,1.0,2,Normal Sale,1,1997-03-12,Commercial,NoSeWa,No Access,RL,4.02,10615314
P07278,Chrompet,819,2008-12-31,77,1.0,1.0,3,AdjLand,1,1987-01-06,House,NoSewr ,Paved,RH,3.46,8538495
P05025,Chrompet,814,2010-05-15,126,1.0,1.0,3,Ab Normal,0,1985-05-21,Others,NoSewr ,Gravel,RM,3.22,9299913
P00627,Chrompet,878,2013-11-22,48,1.0,1.0,3,Partial,0,1995-11-27,Others,All Pub,Gravel,RM,3.53,9596153
P02178,Chrompet,802,2011-11-23,92,1.0,1.0,3,Ab Normal,1,1973-12-02,Commercial,ELO,No Access,RH,3.59,10178620
P02617,Chrompet,1191,2011-09-02,189,1.0,1.0,3,Partial,1,1988-09-07,House,ELO,Gravel,RL,3.5,10220553
P01281,Chrompet,1279,2012-09-04,126,2.0,1.0,4,Normal Sale,0,1990-09-10,Others,ELO,Paved,RL,3.02,10246333
P02692,Chrompet,816,2011-08-16,183,1.0,1.0,3,Partial,0,1981-08-23,Commercial,NoSewr ,Gravel,RH,3.54,10478481
P05348,Chrompet,922,2010-03-13,163,1.0,1.0,3,Partial,1,1996-03-16,Others,NoSewr ,Paved,RH,3.61,8954122
